Lx,Ly,Nl,beta,J0,J1,J2,h,n_basis_vecs,enrg,enrg2,enrg4,SMag_square,SMag_four,Mag_x
4,4,1,20.0,1.0,0.3,0.025,0.1,50,-0.8250228208566861,0.680668178271286,0.4633239883039487,5.598334572935477e-06,2.1988267061070265e-08,-0.0189306308680453
4,4,1,20.0,1.0,0.3,0.025,0.0,50,-0.8245503447509527,0.6798887906246066,0.4622635597986848,4.545710675185209e-32,2.5303077770658318e-33,3.9018279941721e-18
4,4,1,40.0,1.0,0.3,0.025,0.0,50,-0.824991616246743,0.6806112716391854,0.4632319839883141,4.291535949725692e-32,2.4463951518711574e-33,4.9601571479886135e-18
4,4,1,5.0,1.0,0.3,0.025,0.0,50,-0.818275455373143,0.6696363252112991,0.448576565229531,7.402100181740615e-32,3.4678538812383335e-33,-5.549089526306413e-18
4,4,1,5.0,1.0,0.3,0.025,0.0,100,-0.8182745650007222,0.6696350119970226,0.4485751194010896,3.9503621150555844e-13,2.4689763219097403e-14,-9.870676850425492e-18
4,4,1,1.0,1.0,0.3,0.025,0.0,100,-0.7732508040764249,0.6030313028123468,0.3744980396510065,0.0001212150877088,7.575942981805057e-06,-4.847595893542082e-18
4,4,1,1.0,1.0,0.3,0.025,0.1,100,-0.773707399966878,0.6037364454352345,0.3753615505726859,0.0001178219805149,6.997236470516554e-06,-0.0198770261228302
4,4,1,1.0,1.0,0.3,0.0,0.0,100,-0.7581134251430532,0.5796015893052027,0.3459306872942028,9.866511271741322e-05,3.1786609243937194e-06,-1.0831108486764702e-17
4,4,1,1.0,1.0,0.3,0.0,0.0,50,-0.7762380464454153,0.6055646568802897,0.3730415847892919,6.347691666837015e-06,2.255709829638552e-07,-3.974302418097292e-18
4,4,1,5.0,1.0,0.3,0.0,0.0,50,-0.7999980991576843,0.6399972437787481,0.4095970715150787,3.458070317897117e-14,1.228856664291745e-15,-4.862451817825605e-18
4,4,1,10.0,1.0,0.3,0.0,0.0,50,-0.7999999999883214,0.6399999999830657,0.4095999999820073,1.3054850589593362e-24,4.63916060926664e-26,-4.862523153565709e-18
4,4,1,10.0,1.0,0.3,0.1,0.0,50,-0.8999664649869568,0.8099413142894732,0.6560100657258657,4.438715383635514e-32,1.7568850599412706e-33,2.297070465394028e-17
4,4,1,5.0,1.0,0.3,0.1,0.0,100,-0.8982013265516213,0.8068539482369795,0.6512832350372413,1.6722193212200958e-14,6.532106723515999e-17,-1.1174620542700379e-17
4,4,1,20.0,1.0,0.3,0.1,0.0,100,-0.8999999887464866,0.8099999803063516,0.6560999698194843,9.025412989583936e-32,3.293026106071397e-33,4.986801057533033e-17
4,4,1,1.0,1.0,0.3,0.1,0.0,100,-0.8343868666679592,0.7029414032788733,0.5105130449269449,3.438184646539331e-05,1.3430408775544262e-07,3.035206042579062e-18
4,4,1,1.0,1.0,0.3,0.1,0.0,150,-0.8283301784670837,0.6942268995806283,0.5010372576875225,9.183789727039224e-05,3.587417862124697e-07,5.181345896407637e-18
4,4,1,1.0,1.0,0.0,0.0,0.0,150,-0.4985623437485993,0.2489217578114494,0.0621630493160779,0.0170400732529204,0.0010287395635024,1.5742481061590443e-06
4,4,1,1.0,1.0,0.3,0.0,0.0,150,-0.7533680823945856,0.5735419567586741,0.3407198937994461,0.0003797525600669,1.3203313396215036e-05,-2.878197396727073e-18
4,4,1,1.0,1.0,0.3,0.0,0.0,200,-0.7487940733092954,0.5677011111568906,0.3356972393675227,0.0006125184847488,2.081958960920248e-05,7.923518511524066e-18
4,4,1,5.0,1.0,0.3,0.0,0.0,200,-0.799996313490936,0.6399946545727492,0.4095943204998069,3.361516735651952e-12,1.1575794032284618e-13,-1.5497086524006184e-14
4,4,1,1.0,1.0,0.3,0.0,0.0,250,-0.7452004230659199,0.5631770295341516,0.3318874016399883,0.0007379446437331902,2.6298277194723024e-05,8.150840166619125e-07
